group,names,scores,logfoldchanges,pvals,pvals_adj
8,COL3A1,1.1357825,7.568488,0.2560476309915014,0.6548532761930982
8,RASGRP1,1.1296066,,0.25864204874238594,0.657498102691945
8,TBKBP1,1.127681,2.9764419,0.25945466939807516,0.6585143893352161
8,MZF1-AS1,1.1171129,,0.263946042068107,0.6690647454197896
8,EML2-AS1,1.1015952,4.3293333,0.2706377167067229,0.6817070949791508
8,KIAA1324,1.0674529,,0.2857673446285648,0.7117493016900741
8,HECW2,1.0142795,-2.3413575,0.31044941922027414,0.7618390655712249
8,PASK,0.9436637,,0.3453415142049485,0.8261758713037046
8,PDCD4-AS1,0.9340766,6.5038195,0.350264381849838,0.8359531786392315
8,HBA2,0.9114185,,0.3620749051400546,0.8600354041331463
8,HCG27,0.9061532,,0.3648547834181446,0.8645847948297265
8,SYTL2,0.88784766,,0.37462269561301054,0.88362641981866
8,MIAT,0.8392225,,0.4013444566794244,0.9301146157112965
8,AC136475.1,0.79994917,-4.945772,0.42374026049699,0.9709102888445996
8,INPP4B,0.786104,,0.4318065591137158,0.9847355966105263
8,CPNE7,0.740845,1.0772454,0.458787423074531,0.999890321414068
8,LRRC46,0.7138618,1.8891987,0.4753126283790584,0.999890321414068
8,LRFN1,0.7021534,,0.48258351573416935,0.999890321414068
8,GCA,0.6812317,,0.4957248889318958,0.999890321414068
8,ANGPT2,0.67456645,,0.49995124692204707,0.999890321414068
8,PTP4A3,0.6555275,,0.5121282102884154,0.999890321414068
8,LEF1,0.62917,,0.5292377650493845,0.999890321414068
8,AC006141.1,0.6094734,,0.5422107071546435,0.999890321414068
8,NELL2,0.6030215,,0.5464943970557163,0.999890321414068
8,AP005482.1,0.5770148,0.6050767,0.5639294402386235,0.999890321414068
8,REM2,0.5261232,-0.115543716,0.598802612302094,0.999890321414068
8,LINC01136,0.5229088,,0.6010377259325366,0.999890321414068
8,CCL17,0.517528,-2.3349967,0.6047876348591865,0.999890321414068
8,COL1A2,0.4811842,,0.6303855817169294,0.999890321414068
8,AC022893.1,0.470074,,0.6383021460404675,0.999890321414068
8,LINC01619,0.45845023,2.3059397,0.6466290035288352,0.999890321414068
8,HBA1,0.4330781,,0.664958027769132,0.999890321414068
8,SPAG17,0.42868483,1.0683044,0.6681526023039712,0.999890321414068
8,AL022328.2,0.4180024,,0.6759453595236726,0.999890321414068
8,ZDHHC19,0.41381916,-0.073993675,0.6790065444102675,0.999890321414068
8,ENKUR,0.4111546,1.4372565,0.6809591679777232,0.999890321414068
8,AC011472.2,0.40842956,,0.6829583281039446,0.999890321414068
8,CXCL6,0.4083108,-2.4367416,0.6830455092881772,0.999890321414068
8,CARD17,0.40592226,,0.6847997158890818,0.999890321414068
8,AC011379.1,0.4043893,,0.685926471131515,0.999890321414068
8,CDHR3,0.36119223,2.9923837,0.7179557552146464,0.999890321414068
8,C12orf42,0.36102727,0.04687895,0.7180790620169089,0.999890321414068
8,ARAP3,0.35184044,,0.7249579379756018,0.999890321414068
8,RNU6-94P,0.34434822,-0.53328586,0.730584429521608,0.999890321414068
8,AC092794.1,0.33943477,,0.7342822201103694,0.999890321414068
8,AL627309.6,0.33712432,,0.7360231808413311,0.999890321414068
8,LIF,0.30910084,3.645506,0.7572448289498901,0.999890321414068
8,AL034417.4,0.3059051,-2.2190516,0.7596768887407612,0.999890321414068
8,CNTNAP3,0.29705697,-0.060341086,0.766423005905079,0.999890321414068
8,COL18A1,0.28919527,,0.7724319502180006,0.999890321414068
8,TNC,0.28552338,2.4308555,0.7752431842968348,0.999890321414068
8,AC133552.1,0.27718222,-1.7042751,0.7816401940247888,0.999890321414068
8,STRADA,0.26264536,2.0675695,0.7928239314366344,0.999890321414068
8,AP002360.3,0.25106558,,0.8017634000485833,0.999890321414068
8,UNC45B,0.24531199,-4.31505,0.8062148678749412,0.999890321414068
8,RNU6-1016P,0.24180177,,0.8089337685313025,0.999890321414068
8,AC009495.3,0.24010824,,0.8102463464169555,0.999890321414068
8,AC109454.2,0.24001366,,0.8103196619922748,0.999890321414068
8,AC005785.2,0.23965517,,0.8105975942789885,0.999890321414068
8,RF00494,0.23946601,-3.9330273,0.8107442430250753,0.999890321414068
8,LINC01355,0.23940223,,0.8107936958442953,0.999890321414068
8,PPP2R2B,0.2384741,,0.8115134049752117,0.999890321414068
8,ATP6V0E2-AS1,0.22955887,-2.023786,0.818434564424489,0.999890321414068
8,FBLN7,0.22151022,,0.8246951807626935,0.999890321414068
8,AC092620.2,0.21302058,,0.8313109083621226,0.999890321414068
8,FAM183A,0.2107816,2.2807052,0.8330576921658297,0.999890321414068
8,AC106028.3,0.20622557,-0.8358045,0.836614711293789,0.999890321414068
8,AC079336.5,0.1882159,,0.8507074167836227,0.999890321414068
8,RSPH4A,0.18614407,1.7203526,0.852331785470277,0.999890321414068
8,SHD,0.186044,-7.209202,0.8524102608091015,0.999890321414068
8,RNU6-118P,0.1824183,,0.8552544620950373,0.999890321414068
8,AC093495.1,0.17953931,-0.9883938,0.857514257042245,0.999890321414068
8,RAMP2,0.16811348,0.49233925,0.8664939988517566,0.999890321414068
8,Z97192.3,0.1680761,0.45078996,0.8665234129179898,0.999890321414068
8,RN7SKP80,0.16404022,-0.7550259,0.8696994802843319,0.999890321414068
8,AC096642.1,0.16324514,,0.8703254238029077,0.999890321414068
8,IL23R,0.16082251,-2.5534265,0.8722331894841994,0.999890321414068
8,NTM,0.15542743,1.5736958,0.8764843687502778,0.999890321414068
8,AC098614.4,0.14962433,-4.207577,0.881061006993253,0.999890321414068
8,AC005306.1,0.14823543,1.6699252,0.8821569773250597,0.999890321414068
8,NAPSA,0.14809246,,0.882269797883826,0.999890321414068
8,CR382285.2,0.14419295,,0.8853481091325928,0.999890321414068
8,AC064847.1,0.14419295,,0.8853481091325928,0.999890321414068
8,PI16,0.14171644,-1.1472315,0.8873039903571956,0.999890321414068
8,KLRA1P,0.13955444,,0.8890120398565186,0.999890321414068
8,DMBT1,0.13955444,3.7430222,0.8890120398565186,0.999890321414068
8,EIF4A3P1,0.13840306,,0.8899218782721735,0.999890321414068
8,PRKCQ-AS1,0.1378719,,0.890341652102977,0.999890321414068
8,EPHA1-AS1,0.13786861,4.0066853,0.8903442594900355,0.999890321414068
8,AL138963.1,0.13454314,,0.8929731039862352,0.999890321414068
